"Statistic","Year","Make and Model","UNIT","VALUE"
"New Private Cars Licensed for the First Time Rank","2020","Fiat 500L","Number","207"
"New Private Cars Licensed for the First Time Rank","2020","Fiat 500X","Number","161"
"New Private Cars Licensed for the First Time Rank","2020","Ford Fiesta","Number","13"
"New Private Cars Licensed for the First Time Rank","2020","Ford Mondeo","Number","61"
"New Private Cars Licensed for the First Time Rank","2020","Ford Galaxy","Number","151"
"New Private Cars Licensed for the First Time Rank","2020","Ford Puma","Number","38"
"New Private Cars Licensed for the First Time Rank","2020","Ford Ka","Number","188"
"New Private Cars Licensed for the First Time Rank","2020","Ford Focus","Number","4"
"New Private Cars Licensed for the First Time Rank","2020","Ford C-Max","Number","185"
"New Private Cars Licensed for the First Time Rank","2020","Ford Kuga","Number","31"
"New Private Cars Licensed for the First Time Rank","2020","Ford Grand C-Max","Number","215"
"New Private Cars Licensed for the First Time Rank","2020","Ford Ecosport","Number","81"
"New Private Cars Licensed for the First Time Rank","2020","Ford Mustang","Number","191"
"New Private Cars Licensed for the First Time Rank","2020","Ford Edge","Number",""
"New Private Cars Licensed for the First Time Rank","2020","Honda Civic","Number","66"
"New Private Cars Licensed for the First Time Rank","2020","Honda Jazz","Number","122"
"New Private Cars Licensed for the First Time Rank","2020","Honda CR-V","Number","107"
"New Private Cars Licensed for the First Time Rank","2020","Honda HR-V","Number","113"
"New Private Cars Licensed for the First Time Rank","2020","Hyundai Santa Fe","Number","85"
"New Private Cars Licensed for the First Time Rank","2020","Hyundai Tucson","Number","3"
"New Private Cars Licensed for the First Time Rank","2020","Hyundai i30","Number","62"
"New Private Cars Licensed for the First Time Rank","2020","Hyundai i10","Number","43"
"New Private Cars Licensed for the First Time Rank","2020","Hyundai i20","Number","33"
"New Private Cars Licensed for the First Time Rank","2020","Hyundai ix35","Number",""
"New Private Cars Licensed for the First Time Rank","2020","Hyundai ix20","Number","121"
"New Private Cars Licensed for the First Time Rank","2020","Hyundai i40","Number","197"
"New Private Cars Licensed for the First Time Rank","2020","Hyundai Ioniq","Number","94"
"New Private Cars Licensed for the First Time Rank","2020","Hyundai Kona","Number","5"
"New Private Cars Licensed for the First Time Rank","2020","Jaguar XF","Number","163"
"New Private Cars Licensed for the First Time Rank","2020","Jaguar XE","Number","158"
"New Private Cars Licensed for the First Time Rank","2020","Jaguar F-Pace","Number","117"
"New Private Cars Licensed for the First Time Rank","2020","Jaguar E-Pace","Number","132"
"New Private Cars Licensed for the First Time Rank","2020","Jaguar I-Pace","Number","182"
"New Private Cars Licensed for the First Time Rank","2020","Jeep Renegade","Number","182"
"New Private Cars Licensed for the First Time Rank","2020","Jeep Compass","Number","207"
"New Private Cars Licensed for the First Time Rank","2020","Kia Sportage","Number","11"
"New Private Cars Licensed for the First Time Rank","2020","Kia Carens","Number",""
"New Private Cars Licensed for the First Time Rank","2020","Kia Rio","Number","96"
"New Private Cars Licensed for the First Time Rank","2020","Kia Sorento","Number","133"
"New Private Cars Licensed for the First Time Rank","2020","Kia Picanto","Number","89"
"New Private Cars Licensed for the First Time Rank","2020","Kia Ceed","Number","75"
"New Private Cars Licensed for the First Time Rank","2020","Kia Pro_Ceed","Number","125"
"New Private Cars Licensed for the First Time Rank","2020","Kia Soul","Number","93"
"New Private Cars Licensed for the First Time Rank","2020","Kia Venga","Number",""
"New Private Cars Licensed for the First Time Rank","2020","Kia Optima","Number","146"
"New Private Cars Licensed for the First Time Rank","2020","Kia Niro","Number","28"
"New Private Cars Licensed for the First Time Rank","2020","Kia Stonic","Number","27"
"New Private Cars Licensed for the First Time Rank","2020","Kia Stinger","Number",""
"New Private Cars Licensed for the First Time Rank","2020","Kia Xceed","Number","71"
"New Private Cars Licensed for the First Time Rank","2020","Landrover Discovery","Number","127"
"New Private Cars Licensed for the First Time Rank","2020","Landrover Range Rover","Number","164"
"New Private Cars Licensed for the First Time Rank","2020","Landrover Range Rover Sport","Number","103"
"New Private Cars Licensed for the First Time Rank","2020","Landrover Discovery Sport","Number","64"
"New Private Cars Licensed for the First Time Rank","2020","Landrover Range Rover Evoque","Number","101"
"New Private Cars Licensed for the First Time Rank","2020","Landrover Range Rover Velar","Number","114"
"New Private Cars Licensed for the First Time Rank","2020","Lexus IS","Number","173"
"New Private Cars Licensed for the First Time Rank","2020","Lexus GS","Number",""
"New Private Cars Licensed for the First Time Rank","2020","Lexus LS","Number","215"
"New Private Cars Licensed for the First Time Rank","2020","Lexus RX","Number","143"
"New Private Cars Licensed for the First Time Rank","2020","Lexus CT","Number","172"
"New Private Cars Licensed for the First Time Rank","2020","Lexus NX","Number","110"
"New Private Cars Licensed for the First Time Rank","2020","Lexus RC","Number","207"
"New Private Cars Licensed for the First Time Rank","2020","Lexus ES","Number","119"
"New Private Cars Licensed for the First Time Rank","2020","Lexus Ux","Number","138"
"New Private Cars Licensed for the First Time Rank","2020","Mazda 6","Number","124"
"New Private Cars Licensed for the First Time Rank","2020","Mazda 2","Number","119"
"New Private Cars Licensed for the First Time Rank","2020","Mazda 3","Number","82"
"New Private Cars Licensed for the First Time Rank","2020","Mazda MX-5","Number","180"
"New Private Cars Licensed for the First Time Rank","2020","Mazda CX-5","Number","68"
"New Private Cars Licensed for the First Time Rank","2020","Mazda CX-3","Number","185"
"New Private Cars Licensed for the First Time Rank","2020","Mazda CX-30","Number","77"
"New Private Cars Licensed for the First Time Rank","2020","Mercedes Benz S Class","Number","174"
"New Private Cars Licensed for the First Time Rank","2020","Mercedes Benz C Class","Number","76"
"New Private Cars Licensed for the First Time Rank","2020","Mercedes Benz E Class","Number","54"
